title,author,date
The Monkey Wrench Gang,"Abbey, Edward",1975
Watership Down,"Adams, Richard",1972
City of the Beasts,"Allende, Isabel",2002
"Tieta, the Goat Girl: Or, the Return of the Prodigal Daughter","Amado, Jorge",1979
"Bless Me, Ultima","Anaya, Rudolfo A.",1972
Surfacing,"Atwood, Margaret",1972
Lost Borders,"Austin, Mary Hunter",1909
The Temptations of St. Ed & Brother S,"Bergon, Frank",1993
Jayber Crow: A Novel,"Berry, Wendell",2000
Trout Fishing in America,"Brautigan, Richard",1967
Dawn Land: A Novel,"Bruchac, Joseph",1993
Stand on Zanzibar,"Brunner, John",1969
Parable of the Sower,"Butler, Octavia E.",2000
Ecotopia: The Notebooks and Reports of William Weston,"Callenbach, Ernest",1975
The Lost Steps,"Carpentier, Alejo",1956
"The Track of the Cat, a Novel","Clark, Walter Van Tilburg",1949
Continent,"Crace, Jim",1986
Shark Dialogues,"Davenport, Kiana",1994
White Noise,"DeLillo, Don",1985
Do Androids Dream of Electric Sheep?,"Dick, Philip K.",1993
The Living,"Dillard, Annie",1992
Fup,"Dodge, Jim",1983
The River Why,"Duncan, David James",1983
Dancers in the Scalp House,"Eastlake, William",1975
Blackwater,"Ekman, Kerstin",1995
Tracks: a Novel,"Erdrich, Louise",1988
The Roots of Heaven,"Gary, Romain",1958
The Man Who Planted Trees,"Giono, Jean",1985
When Coyote Howls: A Lavaland Tale ,"Gish, Robert",1994
The Wind in the Willows,"Grahame, Kenneth",1908
The Big Sky,"Guthrie, A. B., Jr.",1947
When Rain Clouds Gather; A Novel,"Head, Bessie",1968
Dune,"Herbert, Frank",1965
The Village of Bom Jesus,"Hill, Lloyd E.",1993
Darkest England,"Hope, Christopher",1996
Miss Smilla's Feeling for Snow,"Høeg, Peter",1996
A Living Soul,"Jersild, P. C.",1988
The Country of the Pointed Firs,"Jewett, Sarah Orne",1896
"Green Grass, Running Water","King, Thomas",1993
Animal Dreams: A Novel,"Kingsolver, Barbara",1990
Always Coming Home,"Le Guin, Ursula K.",1986
Solaris,"Lem, Stanisław",1970
The Call of the Wild,"London, Jack",1903
Winter Count,"Lopez, Barry Holstun",1981
Flight of Ashes,"Maron, Monika",1986
At Play in the Fields of the Lord,"Matthiessen, Peter",1965
Mardi; And a Voyage Thither,"Melville, Herman",1849
Omoo: A Narrative of Adventures in the South Seas,"Melville, Herman",1847
Typee: A Peep at Polynesian Life,"Melville, Herman",1846
House Made of Dawn,"Momaday, Natachee Scott",1968
In the Palm of Darkness: A Novel,"Montero, Mayra",1997
The Iron Bridge,"Morse, David E.",1998
Green Fires: Assault on Eden: A Novel of the Ecuadorian Rainforest,"Mueller, Marnie",1994
A Grain of Wheat,Ngũgĩ wa Thiongʼo,1967
"Cry, the Beloved Country: A Story of Comfort in Desolation","Paton, Alan",1948
Woman on the Edge of Time,"Piercy, Marge",1976
Skywater,"Popham, Melinda Worth",1990
Ishmael: A Novel,"Quinn, Daniel",1992
Ceremony,"Silko, Leslie Marmon",1977
A Thousand Acres,"Smiley, Jane",1991
Eco-fiction,"Stadler, John",1971
The Grapes of Wrath,"Steinbeck, John",1939
Cow / A Novel,"Sterchi, Beat",1988
Earth Abides,"Stewart, George Rippey",1976
The Woman Who Married a Bear,"Straley, John",1992
The Mosquito Coast: A Novel,"Theroux, Paul",1982
The Lord of the Rings,"Tolkien, J. R. R.",1955
The Bridge in the Jungle,"Traven, B.",1938
Demon,"Varley, John",1984
Titan,"Varley, John",1979
Wizard,"Varley, John",1980
The Woman at Otowi Crossing; A Novel,"Waters, Frank",1966
Winter in the Blood,"Welch, James",1974
Where Late the Sweet Birds Sang,"Wilhelm, Kate",1976
Gabo Djara,"Wongar, B.",1987